126,3,4,,,,,,,,,
100,93,nan,100,32,86,82.2,,,,,
100,93,100,nan,32,86,82.2,,,,,
32,34,32,32,nan,23,30.6,,,,,
86,92,86,86,23,nan,74.6,,,,,
 ,,,,,,,,,,,
135,3,2,,,,,,,,,
nan,100,nan,nan,nan,100,100,,,,,
100,nan,nan,nan,nan,100,100,,,,,
nan,nan,nan,100,97,nan,98.5,,,,,
nan,nan,100,nan,97,nan,98.5,,,,,
nan,nan,97,97,nan,nan,97,,,,,
100,100,nan,nan,nan,nan,100,98.8,,,,
 ,,,,,,,,,,,
129,3,4,,,,,,,,,
nan,nan,nan,nan,nan,100,100,,,,,
nan,nan,100,100,100,nan,100,,,,,
nan,100,nan,100,100,nan,100,,,,,
nan,100,100,nan,100,nan,100,,,,,
nan,100,100,100,nan,nan,100,,,,,
100,nan,nan,nan,nan,nan,100,,,,,
 ,,,,,,,,,,,
128,7,7,,,,,,,,,
nan,49,18,25,56,66,42.8,,,,,
49,nan,47,61,34,38,45.8,,,,,
18,47,nan,82,15,34,39.2,,,,,
25,61,82,nan,20,45,46.6,,,,,
56,34,15,20,nan,43,33.6,,,,,
66,38,34,45,43,nan,45.2,,,,,
 ,,,,,,,,,,,
133,5,5,,,,,,,,,
nan,74,100,74,100,74,84.4,,,,,
74,nan,74,100,74,100,84.4,,,,,
100,74,nan,74,100,74,84.4,,,,,
74,100,74,nan,74,100,84.4,,,,,
100,74,100,74,nan,74,84.4,,,,,
74,100,74,100,74,nan,84.4,,,,,
 ,,,,,,,,,,,
134,3,3,,,,,,,,,
nan,16,16,15,100,16,32.6,,,,,
16,nan,100,98,16,100,66,,,,,
16,100,nan,98,16,100,66,,,,,
15,98,98,nan,15,98,64.8,,,,,
100,16,16,15,nan,16,32.6,,,,,
16,100,100,98,16,nan,66,,,,,
 ,,,,,,,,,,,
129,4,5,,,,,,,,,
nan,99,99,99,100,31,85.6,,,,,
99,nan,100,100,99,30,85.6,,,,,
99,100,nan,100,99,30,85.6,,,,,
99,100,100,nan,99,30,85.6,,,,,
100,99,99,99,nan,31,85.6,,,,,
31,30,30,30,31,nan,30.4,,,,,
 ,,,,,,,,,,,
133,3,5,,,,,,,,,
nan,5,100,100,100,15,64,,,,,
5,nan,5,5,5,17,7.4,,,,,
