132,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,97,97,92,85,nan,95,86,94,95,96,85,96,97,97,98,98,87,94,95,93.78947368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,93,97,88,82,95,nan,90,97,91,95,81,92,95,93,94,95,84,98,99,92.26315789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,86,89,81,77,86,90,nan,91,85,89,77,84,88,85,86,87,80,91,90,85.68421053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,93,96,88,82,94,97,91,nan,93,97,80,92,96,93,94,95,83,98,98,92.31578947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,95,93,94,88,95,91,85,93,nan,95,86,98,95,97,96,95,88,93,92,92.89473684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,95,97,90,84,96,95,89,97,95,nan,82,94,98,95,96,98,85,96,96,93.36842105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,85,82,91,87,85,81,77,80,86,82,nan,87,83,85,85,84,95,80,81,84.26315789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,96,94,95,87,96,92,84,92,98,94,87,nan,94,98,97,96,88,92,93,93.15789474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,94,96,90,84,97,95,88,96,95,98,83,94,nan,95,96,96,86,96,94,93.10526316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,97,95,94,86,97,93,85,93,97,95,85,98,95,nan,98,97,87,92,94,93.47368421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,98,96,94,85,98,94,86,94,96,96,85,97,96,98,nan,98,86,93,95,93.89473684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,97,97,92,84,98,95,87,95,95,98,84,96,96,97,98,nan,86,95,96,93.89473684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,85,85,90,84,87,84,80,83,88,85,95,88,86,87,86,86,nan,83,84,85.89473684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,92,96,88,82,94,98,91,98,93,96,80,92,96,92,93,95,83,nan,98,92.10526316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,94,97,89,82,95,99,90,98,92,96,81,93,94,94,95,96,84,98,nan,92.73684211,91.34626039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nan,62,73,50,50,45,72,86,91,47,86,55,87,76,83,88,43,44,86,52,67.15789474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,nan,49,46,40,40,46,55,61,41,66,51,65,46,70,55,40,55,65,56,53.10526316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,49,nan,50,53,42,74,81,75,45,68,60,66,68,65,75,40,36,68,49,59.84210526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,46,50,nan,81,71,64,54,47,75,48,50,45,50,45,50,67,56,47,79,56.57894737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,40,53,81,nan,80,64,56,49,83,47,47,45,52,46,52,75,58,47,65,57.36842105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,40,42,71,80,nan,56,48,43,92,41,39,41,48,40,46,92,63,42,68,54.57894737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,46,74,64,64,56,nan,82,73,59,64,57,63,76,61,75,54,42,64,59,63.42105263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,55,81,54,56,48,82,nan,87,51,77,54,74,79,74,89,46,44,77,54,66.73684211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
