 ,,,,,,
nan,88,74,88,82,83,
88,nan,85,100,76,87.25,
74,85,nan,85,91,83.75,
88,100,85,nan,76,87.25,
82,76,91,76,nan,81.25,84.5
71,6,7,3,,,
 ,,,,,,
nan,98,99,99,99,98.75,
98,nan,99,98,98,98.25,
99,99,nan,99,99,99,
99,98,99,nan,100,99,
99,98,99,100,nan,99,98.8
47,7,7,4,,,
 ,,,,,,
nan,80,84,75,83,80.5,
80,nan,71,68,75,73.5,
84,71,nan,67,79,75.25,
75,68,67,nan,76,71.5,
83,75,79,76,nan,78.25,75.8
63,7,2,3,,,
 ,,,,,,
nan,100,100,100,92,98,
100,nan,100,100,92,98,
100,100,nan,100,92,98,
100,100,100,nan,92,98,
92,92,92,92,nan,92,96.8
48,3,7,2,,,
 ,,,,,,
nan,91,24,27,91,58.25,
91,nan,25,28,100,61,
24,25,nan,83,25,39.25,
27,28,83,nan,28,41.5,
91,100,25,28,nan,61,52.2
74,8,4,3,,,
 ,,,,,,
nan,45,71,56,91,65.75,
45,nan,69,86,46,61.5,
71,69,nan,82,69,72.75,
56,86,82,nan,55,69.75,
91,46,69,55,nan,65.25,67
62,7,4,4,,,
 ,,,,,,
nan,59,70,71,95,73.75,
59,nan,85,81,64,72.25,
70,85,nan,73,75,75.75,
71,81,73,nan,67,73,
95,64,75,67,nan,75.25,74
70,5,3,3,,,
 ,,,,,,
nan,37,38,23,35,33.25,
37,nan,46,72,45,50,
38,46,nan,59,85,57,
23,72,59,nan,54,52,
35,45,85,54,nan,54.75,49.4
26,8,7,3,,,
 ,,,,,,
nan,90,20,25,20,38.75,
90,nan,17,22,17,36.5,
20,17,nan,59,81,44.25,
25,22,59,nan,62,42,
20,17,81,62,nan,45,41.3
64,3,7,4,,,
 ,,,,,,
nan,96,86,88,92,90.5,
96,nan,86,89,96,91.75,
86,86,nan,96,87,88.75,
88,89,96,nan,85,89.5,
92,96,87,85,nan,90,90.1
34,8,3,2,,,
 ,,,,,,
nan,91,83,83,83,85,
91,nan,75,75,75,79,
83,75,nan,100,100,89.5,
83,75,100,nan,100,89.5,
83,75,100,100,nan,89.5,86.5
46,3,2,3,,,
 ,,,,,,
nan,100,96,96,98,97.5,
100,nan,96,96,98,97.5,
96,96,nan,98,94,96,
96,96,98,nan,95,96.25,
98,98,94,95,nan,96.25,96.7
78,3,7,2,,,
 ,,,,,,
nan,50,50,100,58,64.5,
50,nan,100,50,35,58.75,
50,100,nan,50,35,58.75,
100,50,50,nan,58,64.5,
58,35,35,58,nan,46.5,58.6
75,6,4,4,,,
 ,,,,,,
nan,91,100,93,93,94.25,
91,nan,91,84,85,87.75,
100,91,nan,93,93,94.25,
93,84,93,nan,87,89.25,
93,85,93,87,nan,89.5,91
26,4,5,3,,,
 ,,,,,,
