51,61,49,nan,49,52.5,,,,
85,25,100,49,nan,64.75,54.0625,,,
134,6,4,3,,,,,,
 ,,,,,,,,,
nan,100,37,58,39,58.5,,,,
100,nan,37,58,39,58.5,,,,
37,37,nan,19,82,43.75,,,,
58,58,19,nan,29,41,,,,
39,39,82,29,nan,47.25,50.4375,,,
132,4,4,3,,,,,,
 ,,,,,,,,,
nan,100,100,100,100,100,,,,
100,nan,100,100,100,100,,,,
100,100,nan,100,100,100,,,,
100,100,100,nan,100,100,,,,
100,100,100,100,nan,100,100,,,
132,5,5,3,,,,,,
 ,,,,,,,,,
nan,50,49,50,49,49.5,,,,
50,nan,72,55,72,62.25,,,,
49,72,nan,80,100,75.25,,,,
50,55,80,nan,80,66.25,,,,
49,72,100,80,nan,75.25,63.3125,,,
132,5,5,3,,,,,,
 ,,,,,,,,,
nan,63,45,97,61,66.5,,,,
63,nan,64,66,89,70.5,,,,
45,64,nan,48,67,56,,,,
97,66,48,nan,59,67.5,,,,
61,89,67,59,nan,69,65.125,,,
140,7,3,2,,,,,,
 ,,,,,,,,,
nan,100,100,100,100,100,,,,
100,nan,100,100,100,100,,,,
100,100,nan,100,100,100,,,,
100,100,100,nan,100,100,,,,
100,100,100,100,nan,100,100,,,
138,3,7,3,,,,,,
 ,,,,,,,,,
nan,80,79,80,84,80.75,,,,
80,nan,74,100,96,87.5,,,,
79,74,nan,74,78,76.25,,,,
80,100,74,nan,96,87.5,,,,
84,96,78,96,nan,88.5,83,,,
131,7,8,2,,,,,,
 ,,,,,,,,,
nan,72,47,52,47,54.5,,,,
72,nan,26,35,26,39.75,,,,
47,26,nan,79,100,63,,,,
52,35,79,nan,79,61.25,,,,
47,26,100,79,nan,63,54.625,,,
129,3,5,4,,,,,,
 ,,,,,,,,,
nan,77,100,100,82,89.75,,,,
77,nan,77,77,70,75.25,,,,
100,77,nan,100,82,89.75,,,,
100,77,100,nan,82,89.75,,,,
82,70,82,82,nan,79,86.125,,,
129,3,5,2,,,,,,
 ,,,,,,,,,
nan,80,90,100,90,90,,,,
80,nan,89,80,89,84.5,,,,
90,89,nan,90,100,92.25,,,,
100,80,90,nan,90,90,,,,
90,89,100,90,nan,92.25,89.1875,,,
125,7,8,4,,,,,,
 ,,,,,,,,,
nan,91,90,90,98,92.25,,,,
91,nan,87,87,92,89.25,,,,
90,87,nan,100,91,92,,,,
90,87,100,nan,91,92,,,,
98,92,91,91,nan,93,91.375,,,
134,6,3,4,,,,,,
 ,,,,,,,,,
nan,57,57,64,55,58.25,,,,
57,nan,100,73,65,73.75,,,,
57,100,nan,73,65,73.75,,,,
64,73,73,nan,92,75.5,,,,
55,65,65,92,nan,69.25,70.3125,,,
134,5,8,4,,,,,,
 ,,,,,,,,,
nan,100,93,100,100,98.25,,,,
100,nan,93,100,100,98.25,,,,
93,93,nan,93,93,93,,,,
100,100,93,nan,100,98.25,,,,
100,100,93,100,nan,98.25,96.9375,,,
136,8,3,4,,,,,,
 ,,,,,,,,,
nan,93,93,93,45,81,,,,
93,nan,89,100,48,82.5,,,,
93,89,nan,89,51,80.5,,,,
93,100,89,nan,48,82.5,,,,
45,48,51,48,nan,48,81.625,,,
140,5,6,3,,,,,,
 ,,,,,,,,,
