273,3,4,3,,,,,,
 ,,,,,,,,,
nan,100,69,100,100,92.25,,,,
100,nan,69,100,100,92.25,,,,
69,69,nan,69,69,69,,,,
100,100,69,nan,100,92.25,,,,
100,100,69,100,nan,92.25,87.6,,,
404,5,5,2,,,,,,
 ,,,,,,,,,
nan,100,90,100,100,97.5,,,,
100,nan,90,100,100,97.5,,,,
90,90,nan,90,90,90,,,,
100,100,90,nan,100,97.5,,,,
100,100,90,100,nan,97.5,96,,,
412,6,8,4,,,,,,
 ,,,,,,,,,
nan,93,100,100,93,96.5,,,,
93,nan,93,93,100,94.75,,,,
100,93,nan,100,93,96.5,,,,
100,93,100,nan,93,96.5,,,,
93,100,93,93,nan,94.75,95.8,,,
465,8,7,2,,,,,,
 ,,,,,,,,,
