130,5,7,4,,,,,
 ,,,,,,,,
nan,99,84,100,100,95.75,,,
99,nan,85,99,99,95.5,,,
84,85,nan,84,84,84.25,,,
100,99,84,nan,100,95.75,,,
100,99,84,100,nan,95.75,,93.4,
131,2,4,3,,,,,
 ,,,,,,,,
nan,61,75,61,75,68,,,
61,nan,80,99,80,80,,,
75,80,nan,81,100,84,,,
61,99,81,nan,81,80.5,,,
75,80,100,81,nan,84,,79.3,
138,5,2,2,,,,,
 ,,,,,,,,
nan,83,70,100,20,68.25,,,
83,nan,86,83,19,67.75,,,
70,86,nan,70,18,61,,,
100,83,70,nan,20,68.25,,,
20,19,18,20,nan,19.25,,56.9,
128,2,7,4,,,,,
 ,,,,,,,,
nan,100,98,97,100,98.75,,,
100,nan,98,97,100,98.75,,,
98,98,nan,97,98,97.75,,,
97,97,97,nan,97,97,,,
100,100,98,97,nan,98.75,,98.2,
127,2,7,2,,,,,
 ,,,,,,,,
